d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
14.0,4.0,Yasuo,Side.blue,1.0,347.0,7562.0,347.0,4.0,0.75,2.0,14.0,11.0,13041.0,0.0,8.0,138155,8796,Many,2
4.0,12.0,Yone,Side.red,3.0,4170.0,6392.0,4170.0,9.0,0.7777777777777778,4.0,13.0,12.0,22561.0,2.0,13.0,115236,9573,Many,1
12.0,4.0,Yone,Side.red,2.0,4021.0,4607.0,4021.0,9.0,0.7777777779999999,5.0,14.0,17.0,20102.0,2.0,15.0,118161,10056,Many,2
4.0,14.0,Irelia,Side.red,1.0,2922.0,3411.0,2922.0,9.0,0.7777777779999999,6.0,13.0,9.0,25833.0,1.0,10.0,97494,8988,Many,2
3.0,4.0,Syndra,Side.blue,7.0,237.0,1028.0,237.0,10.0,0.8,1.0,13.0,21.0,18005.0,0.0,22.0,105105,8342,Many,2
4.0,12.0,Chogath,Side.red,0.0,0.0,0.0,0.0,5.0,0.8,4.0,13.0,58.0,18272.0,0.0,13.0,94624,7865,Many,0
14.0,4.0,Kassadin,Side.blue,3.0,4521.0,6280.0,4521.0,5.0,0.8,1.0,13.0,7.0,15849.0,2.0,12.0,104163,8965,Many,0
12.0,4.0,Akali,Side.blue,1.0,429.0,429.0,429.0,10.0,0.8,7.0,13.0,3.0,24149.0,0.0,9.0,87956,9718,Many,1
12.0,4.0,Viktor,Side.red,3.0,2657.0,2657.0,2657.0,5.0,0.8,1.0,13.0,18.0,12019.0,1.0,11.0,99265,8041,Many,1
14.0,4.0,Akshan,Side.blue,1.0,2269.0,2269.0,2269.0,10.0,0.8,7.0,13.0,4.0,19936.0,0.0,18.0,96265,10866,Many,2
4.0,3.0,Lucian,Side.blue,2.0,1321.0,6728.0,1321.0,5.0,0.8,2.0,14.0,3.0,15998.0,1.0,12.0,146722,10654,Many,0
4.0,6.0,Tryndamere,Side.red,1.0,958.0,1717.0,958.0,5.0,0.8,3.0,13.0,5.0,23115.0,0.0,14.0,106141,8241,Many,0
4.0,12.0,Fiora,Side.blue,1.0,4861.0,6240.0,4861.0,11.0,0.818181818,8.0,13.0,9.0,33313.0,1.0,18.0,97654,10612,Many,2
4.0,7.0,Kalista,Side.blue,5.0,375.0,4267.0,375.0,11.0,0.818181818,4.0,13.0,12.0,23039.0,0.0,39.0,85004,9482,Many,2
4.0,7.0,Aphelios,Side.red,5.0,1451.0,2872.0,1451.0,11.0,0.818181818,4.0,13.0,29.0,20400.0,0.0,23.0,129855,10806,Many,2
3.0,4.0,Ezreal,Side.blue,5.0,344.0,2614.0,344.0,11.0,0.8181818181818182,4.0,13.0,2.0,21090.0,0.0,9.0,115449,10215,Many,1
12.0,4.0,Jayce,Side.red,5.0,3762.0,3762.0,3762.0,11.0,0.8181818181818182,4.0,13.0,11.0,24005.0,1.0,17.0,125538,11075,Many,1
4.0,12.0,Vex,Side.red,3.0,443.0,1414.0,443.0,6.0,0.833333333,2.0,13.0,31.0,13602.0,0.0,13.0,97638,8496,Many,2
4.0,12.0,Yone,Side.red,3.0,3135.0,6056.0,3135.0,6.0,0.8333333333333334,2.0,13.0,15.0,20213.0,1.0,17.0,113553,9311,Many,1
4.0,12.0,Sylas,Side.red,2.0,2055.0,2055.0,2055.0,6.0,0.8333333333333334,3.0,13.0,9.0,16212.0,1.0,13.0,79606,8760,Many,1
4.0,7.0,Caitlyn,Side.red,3.0,772.0,1566.0,772.0,6.0,0.8333333333333334,2.0,13.0,21.0,16349.0,0.0,7.0,127763,10755,Many,0
4.0,7.0,Tristana,Side.red,2.0,125.0,1365.0,125.0,6.0,0.8333333333333334,3.0,13.0,8.0,18136.0,0.0,12.0,109321,9544,Many,1
12.0,4.0,Graves,Side.red,2.0,234.0,8954.0,234.0,6.0,0.8333333333333334,3.0,14.0,8.0,20910.0,0.0,23.0,142980,10164,Many,0
7.0,4.0,Draven,Side.blue,2.0,3611.0,6982.0,3611.0,12.0,0.8333333333333334,8.0,13.0,8.0,23118.0,1.0,7.0,120436,11294,Many,0
14.0,4.0,Pyke,Side.red,9.0,250.0,250.0,250.0,13.0,0.846153846,2.0,14.0,19.0,28107.0,0.0,89.0,31785,9996,Few,2
4.0,7.0,Jhin,Side.blue,4.0,2672.0,3092.0,2672.0,7.0,0.857142857,2.0,13.0,9.0,16034.0,1.0,22.0,103624,9013,Many,2
7.0,4.0,Jinx,Side.blue,2.0,1299.0,4821.0,1299.0,7.0,0.8571428571428571,4.0,13.0,26.0,25196.0,0.0,32.0,149154,10823,Many,0
4.0,12.0,KogMaw,Side.blue,2.0,938.0,1507.0,938.0,7.0,0.8571428571428571,4.0,14.0,11.0,16772.0,0.0,26.0,147195,9983,Many,0
4.0,1.0,Draven,Side.red,1.0,1558.0,4927.0,1558.0,7.0,0.8571428571428571,5.0,13.0,7.0,17366.0,0.0,32.0,117797,10448,Many,0
4.0,7.0,Varus,Side.blue,8.0,7574.0,7913.0,7574.0,14.0,0.8571428571428571,4.0,14.0,19.0,22377.0,2.0,16.0,102001,10830,Many,1
4.0,1.0,Draven,Side.red,1.0,1558.0,4927.0,1558.0,7.0,0.8571428571428571,5.0,13.0,7.0,17366.0,0.0,32.0,117797,10448,Many,0
12.0,4.0,Viktor,Side.blue,4.0,1550.0,5582.0,1550.0,8.0,0.875,3.0,14.0,8.0,16914.0,2.0,17.0,118880,10634,Many,1
4.0,3.0,Yasuo,Side.blue,5.0,148.0,3642.0,148.0,8.0,0.875,2.0,14.0,10.0,19034.0,0.0,15.0,120595,10212,Many,1
3.0,4.0,Cassiopeia,Side.red,4.0,1844.0,5716.0,1844.0,8.0,0.875,3.0,14.0,21.0,23381.0,1.0,24.0,107412,9500,Many,1
4.0,12.0,Galio,Side.red,5.0,0.0,6710.0,0.0,8.0,0.875,2.0,13.0,40.0,29404.0,0.0,29.0,100923,8479,Many,2
14.0,4.0,Zoe,Side.blue,3.0,0.0,0.0,0.0,8.0,0.875,4.0,13.0,28.0,20704.0,0.0,19.0,76922,7736,Many,1
12.0,4.0,Galio,Side.blue,6.0,641.0,1487.0,641.0,8.0,0.875,1.0,13.0,17.0,18149.0,0.0,18.0,81370,7531,Many,1
12.0,4.0,Viktor,Side.blue,4.0,1550.0,5582.0,1550.0,8.0,0.875,3.0,14.0,8.0,16914.0,2.0,17.0,118880,10634,Many,1
4.0,12.0,Syndra,Side.blue,4.0,312.0,2834.0,312.0,8.0,0.875,3.0,14.0,18.0,16847.0,0.0,31.0,121053,10999,Many,2
12.0,4.0,Corki,Side.blue,4.0,3792.0,5679.0,3792.0,8.0,0.875,3.0,13.0,3.0,16814.0,1.0,24.0,110542,10229,Many,1
4.0,12.0,KogMaw,Side.red,2.0,0.0,0.0,0.0,9.0,0.8888888888888888,6.0,13.0,6.0,16699.0,0.0,22.0,119616,10952,Many,0
14.0,4.0,Akshan,Side.red,1.0,3912.0,5874.0,3912.0,9.0,0.8888888888888888,7.0,14.0,6.0,18165.0,2.0,23.0,126332,10522,Many,1
3.0,4.0,Yasuo,Side.red,6.0,2481.0,4079.0,2481.0,9.0,0.8888888888888888,2.0,13.0,23.0,17134.0,1.0,17.0,125840,9999,Many,1
4.0,14.0,Thresh,Side.red,6.0,0.0,313.0,0.0,9.0,0.8888888888888888,2.0,13.0,23.0,25544.0,0.0,71.0,19904,7546,Few,1
4.0,7.0,Aphelios,Side.blue,4.0,2206.0,3846.0,2206.0,9.0,0.8888888888888888,4.0,13.0,15.0,19167.0,2.0,27.0,125145,11187,Many,0
3.0,4.0,Yasuo,Side.red,4.0,2709.0,8759.0,2709.0,9.0,0.8888888888888888,4.0,13.0,9.0,18071.0,0.0,9.0,108182,9516,Many,1
7.0,4.0,Draven,Side.blue,2.0,0.0,2762.0,0.0,10.0,0.9,7.0,13.0,11.0,29161.0,0.0,23.0,120447,12018,Many,0
4.0,12.0,Yone,Side.red,4.0,4296.0,4848.0,4296.0,10.0,0.9,5.0,14.0,19.0,22870.0,1.0,15.0,98763,9239,Many,2
7.0,4.0,Swain,Side.red,5.0,3008.0,5455.0,3008.0,10.0,0.9,4.0,14.0,38.0,28232.0,1.0,13.0,141855,10835,Many,0
7.0,4.0,Caitlyn,Side.red,3.0,2840.0,3579.0,2840.0,11.0,0.909090909,7.0,14.0,12.0,19667.0,1.0,24.0,117005,10767,Many,2
4.0,7.0,Aphelios,Side.red,5.0,2267.0,4551.0,2267.0,11.0,0.909090909,5.0,14.0,22.0,31233.0,0.0,27.0,159685,12666,Many,2
4.0,1.0,Aphelios,Side.red,5.0,3182.0,5210.0,3182.0,11.0,0.909090909,5.0,13.0,13.0,21620.0,1.0,23.0,115724,11271,Many,2
4.0,7.0,Caitlyn,Side.red,7.0,4385.0,6013.0,4385.0,11.0,0.9090909090909092,3.0,13.0,25.0,22300.0,2.0,24.0,131335,10347,Many,1
4.0,14.0,Rell,Side.red,8.0,0.0,1143.0,0.0,11.0,0.9090909090909092,2.0,13.0,19.0,23240.0,0.0,57.0,21829,7118,Few,0
