d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,server
4.0,14.0,Blitzcrank,Side.red,1.0,0.0,279.0,0.0,6.0,0.1666666666666666,0.0,8.0,8.0,10833.0,0.0,10.0,7633,3462,Other,Few,0
12.0,4.0,Viktor,Side.blue,0.0,0.0,0.0,0.0,6.0,0.1666666666666666,1.0,9.0,6.0,9423.0,0.0,8.0,40214,4682,Other,Few,1
7.0,4.0,Ezreal,Side.blue,0.0,3836.0,4579.0,3836.0,6.0,0.166666667,1.0,11.0,0.0,12687.0,0.0,24.0,107274,8566,Other,Many,2
4.0,12.0,Jax,Side.red,1.0,0.0,7862.0,0.0,6.0,0.166666667,0.0,13.0,10.0,17197.0,0.0,17.0,73891,6632,TopLane_Jungle,Many,2
4.0,12.0,Ziggs,Side.red,1.0,319.0,319.0,319.0,6.0,0.166666667,0.0,9.0,13.0,9566.0,0.0,7.0,48302,4013,Other,Few,2
7.0,4.0,Jhin,Side.blue,1.0,0.0,419.0,0.0,6.0,0.166666667,0.0,10.0,5.0,14733.0,0.0,11.0,73528,6167,Other,Many,2
12.0,4.0,Draven,Side.red,2.0,0.0,1717.0,0.0,11.0,0.1818181818181818,0.0,11.0,9.0,17862.0,0.0,7.0,60824,5239,TopLane_Jungle,Many,0
4.0,12.0,Kassadin,Side.red,2.0,841.0,841.0,841.0,11.0,0.181818182,0.0,10.0,9.0,17478.0,0.0,9.0,42156,5051,Other,Few,2
4.0,7.0,Sona,Side.blue,1.0,118.0,118.0,118.0,5.0,0.2,0.0,8.0,3.0,7053.0,0.0,17.0,4493,3335,Other,Few,2
4.0,12.0,Ryze,Side.red,1.0,281.0,2272.0,281.0,10.0,0.2,1.0,12.0,18.0,20361.0,0.0,13.0,90268,6311,TopLane_Jungle,Many,1
4.0,12.0,Sett,Side.red,1.0,0.0,0.0,0.0,5.0,0.2,0.0,12.0,13.0,18920.0,0.0,9.0,62923,6356,TopLane_Jungle,Many,0
7.0,4.0,Aphelios,Side.red,1.0,252.0,252.0,252.0,5.0,0.2,0.0,9.0,5.0,9249.0,0.0,17.0,49768,5282,Other,Many,1
4.0,1.0,Jhin,Side.blue,1.0,231.0,330.0,231.0,5.0,0.2,0.0,8.0,7.0,7580.0,0.0,9.0,35066,4504,Other,Many,2
14.0,4.0,Akali,Side.blue,0.0,830.0,830.0,830.0,5.0,0.2,1.0,10.0,1.0,8961.0,0.0,11.0,51843,5566,Other,Many,1
1.0,4.0,Jhin,Side.red,0.0,0.0,0.0,0.0,5.0,0.2,1.0,9.0,4.0,6716.0,0.0,6.0,37854,4822,Other,Few,1
14.0,4.0,Zed,Side.red,0.0,0.0,0.0,0.0,5.0,0.2,1.0,10.0,3.0,9215.0,0.0,20.0,57844,5462,Other,Many,1
6.0,4.0,Tryndamere,Side.red,0.0,1583.0,1583.0,1583.0,5.0,0.2,1.0,10.0,2.0,13421.0,0.0,7.0,45302,5532,TopLane_Jungle,Few,1
12.0,4.0,Fiora,Side.red,0.0,3328.0,3625.0,3328.0,5.0,0.2,1.0,12.0,5.0,14609.0,1.0,9.0,82187,7630,TopLane_Jungle,Many,2
12.0,4.0,Jax,Side.red,0.0,1047.0,1047.0,1047.0,10.0,0.2,2.0,10.0,10.0,18941.0,0.0,4.0,47362,5492,TopLane_Jungle,Few,0
4.0,3.0,Vayne,Side.blue,0.0,0.0,0.0,0.0,5.0,0.2,1.0,9.0,2.0,8014.0,0.0,8.0,38392,4716,Other,Many,0
11.0,3.0,Karthus,Side.red,0.0,236.0,14726.0,236.0,5.0,0.2,1.0,10.0,7.0,15898.0,0.0,13.0,92285,5600,TopLane_Jungle,Few,0
4.0,12.0,Sett,Side.blue,0.0,563.0,563.0,563.0,5.0,0.2,1.0,10.0,16.0,15505.0,0.0,12.0,49935,5421,Other,Many,0
4.0,12.0,Anivia,Side.red,1.0,655.0,655.0,655.0,10.0,0.2,1.0,13.0,44.0,28252.0,0.0,27.0,106556,8899,Other,Many,0
14.0,12.0,Camille,Side.blue,1.0,0.0,0.0,0.0,14.0,0.2142857142857142,2.0,10.0,15.0,29639.0,0.0,3.0,47210,6318,TopLane_Jungle,Few,1
4.0,14.0,Sona,Side.blue,2.0,154.0,2008.0,154.0,14.0,0.2142857142857142,1.0,10.0,6.0,17105.0,0.0,38.0,16109,5813,Other,Few,0
4.0,14.0,Nautilus,Side.red,2.0,0.0,0.0,0.0,9.0,0.222222222,0.0,7.0,21.0,10013.0,0.0,25.0,12157,3661,Other,Few,2
4.0,3.0,Aphelios,Side.blue,2.0,922.0,922.0,922.0,9.0,0.222222222,0.0,10.0,17.0,14776.0,1.0,14.0,63342,6163,Other,Many,2
12.0,4.0,Fiora,Side.blue,2.0,0.0,0.0,0.0,9.0,0.222222222,0.0,11.0,5.0,23219.0,0.0,12.0,55492,6478,TopLane_Jungle,Many,2
4.0,12.0,Irelia,Side.red,1.0,432.0,3095.0,432.0,9.0,0.222222222,1.0,13.0,9.0,22930.0,1.0,13.0,106801,7525,TopLane_Jungle,Many,2
12.0,4.0,Fiora,Side.blue,1.0,0.0,0.0,0.0,9.0,0.222222222,1.0,11.0,5.0,21771.0,0.0,6.0,50354,5444,TopLane_Jungle,Few,2
14.0,4.0,Yone,Side.red,2.0,921.0,921.0,921.0,9.0,0.2222222222222222,0.0,13.0,13.0,22005.0,0.0,15.0,94885,7819,Other,Many,0
3.0,4.0,Leona,Side.red,3.0,0.0,34.0,0.0,13.0,0.2307692307692308,0.0,13.0,26.0,26403.0,0.0,107.0,17296,7215,Other,Few,0
4.0,14.0,Sett,Side.red,3.0,2267.0,4140.0,2267.0,13.0,0.230769231,0.0,13.0,16.0,30354.0,1.0,12.0,94812,7868,TopLane_Jungle,Many,2
12.0,4.0,Yasuo,Side.red,0.0,322.0,837.0,322.0,4.0,0.25,1.0,12.0,9.0,13177.0,0.0,15.0,83517,6919,Other,Many,0
4.0,7.0,Caitlyn,Side.red,1.0,2125.0,2125.0,2125.0,8.0,0.25,1.0,8.0,5.0,9328.0,0.0,7.0,54282,5164,Other,Few,0
14.0,4.0,Karma,Side.red,2.0,0.0,0.0,0.0,8.0,0.25,0.0,10.0,20.0,15239.0,0.0,32.0,15589,4836,Other,Few,1
4.0,14.0,Teemo,Side.red,2.0,0.0,55.0,0.0,8.0,0.25,0.0,13.0,23.0,16786.0,0.0,21.0,84510,7328,TopLane_Jungle,Many,0
12.0,4.0,Irelia,Side.blue,0.0,0.0,2090.0,0.0,4.0,0.25,1.0,11.0,4.0,9624.0,0.0,11.0,69959,6113,Other,Many,0
6.0,4.0,Tryndamere,Side.red,0.0,4680.0,24114.0,4680.0,4.0,0.25,1.0,14.0,6.0,18691.0,2.0,13.0,159259,10808,TopLane_Jungle,Many,2
4.0,12.0,Gragas,Side.red,0.0,0.0,1481.0,0.0,4.0,0.25,1.0,11.0,11.0,15231.0,0.0,13.0,69421,5611,TopLane_Jungle,Many,0
4.0,12.0,Graves,Side.red,1.0,3659.0,4157.0,3659.0,4.0,0.25,0.0,14.0,9.0,19329.0,1.0,21.0,154184,8473,TopLane_Jungle,Many,0
12.0,4.0,Irelia,Side.blue,0.0,0.0,2090.0,0.0,4.0,0.25,1.0,11.0,4.0,9624.0,0.0,11.0,69959,6113,Other,Many,0
4.0,12.0,Ezreal,Side.blue,0.0,2740.0,3020.0,2740.0,4.0,0.25,1.0,14.0,0.0,13094.0,1.0,13.0,131324,9088,Other,Many,2
4.0,12.0,Jayce,Side.blue,0.0,544.0,544.0,544.0,4.0,0.25,1.0,10.0,3.0,8382.0,0.0,9.0,64146,5840,Other,Many,2
12.0,4.0,Irelia,Side.red,1.0,2225.0,2225.0,2225.0,12.0,0.25,2.0,12.0,14.0,24322.0,1.0,12.0,100680,7627,Other,Many,1
6.0,4.0,Tryndamere,Side.blue,1.0,9675.0,9675.0,9675.0,4.0,0.25,0.0,10.0,2.0,11505.0,4.0,4.0,50685,6533,TopLane_Jungle,Few,0
