d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
4.0,12.0,Graves,Side.blue,1.0,3135.0,6622.0,3135.0,4.0,0.5,1.0,13.0,13.0,15804.0,1.0,12.0,121614,8202,Many,1
4.0,14.0,Garen,Side.blue,0.0,5533.0,5533.0,5533.0,6.0,0.5,3.0,13.0,23.0,19063.0,2.0,17.0,88032,9058,Many,2
4.0,12.0,Jayce,Side.red,3.0,3752.0,3752.0,3752.0,10.0,0.5,2.0,14.0,4.0,17099.0,1.0,31.0,102704,8462,Many,0
4.0,12.0,Fiora,Side.blue,5.0,0.0,912.0,0.0,10.0,0.5,0.0,13.0,8.0,27926.0,0.0,19.0,73318,7304,Many,2
12.0,4.0,Renekton,Side.blue,2.0,2123.0,3282.0,2123.0,9.0,0.5555555560000001,3.0,13.0,13.0,33879.0,1.0,20.0,114558,9525,Many,2
4.0,12.0,Gangplank,Side.red,3.0,4102.0,7393.0,4102.0,9.0,0.5555555560000001,2.0,14.0,6.0,27120.0,2.0,16.0,166211,10977,Many,2
14.0,12.0,Akali,Side.blue,3.0,0.0,0.0,0.0,16.0,0.5625,6.0,13.0,1.0,30706.0,0.0,10.0,68580,9101,Many,0
14.0,12.0,Akali,Side.blue,3.0,0.0,0.0,0.0,16.0,0.5625,6.0,13.0,1.0,30706.0,0.0,10.0,68580,9101,Many,0
6.0,4.0,Tryndamere,Side.blue,2.0,0.0,2980.0,0.0,7.0,0.571428571,2.0,14.0,11.0,29439.0,0.0,16.0,154706,9541,Many,2
12.0,6.0,Nasus,Side.red,3.0,2331.0,5438.0,2331.0,7.0,0.571428571,1.0,14.0,16.0,26126.0,1.0,17.0,142028,9764,Many,2
4.0,12.0,Camille,Side.red,2.0,4994.0,7764.0,4994.0,7.0,0.5714285714285714,2.0,13.0,16.0,20782.0,2.0,23.0,87367,9004,Many,1
12.0,4.0,Jax,Side.red,2.0,3222.0,3222.0,3222.0,7.0,0.5714285714285714,2.0,13.0,10.0,24016.0,1.0,19.0,104130,8750,Many,1
12.0,6.0,Volibear,Side.blue,4.0,1170.0,1170.0,1170.0,14.0,0.5714285714285714,4.0,13.0,25.0,30918.0,1.0,14.0,94031,10039,Many,1
14.0,6.0,Tryndamere,Side.blue,3.0,0.0,6793.0,0.0,7.0,0.5714285714285714,1.0,13.0,8.0,23213.0,0.0,9.0,95212,7814,Many,1
4.0,12.0,Gangplank,Side.red,5.0,2149.0,3645.0,2149.0,12.0,0.583333333,2.0,14.0,13.0,26789.0,0.0,16.0,148151,10429,Many,2
12.0,4.0,Akshan,Side.blue,2.0,500.0,839.0,500.0,12.0,0.5833333333333334,5.0,13.0,1.0,23315.0,0.0,24.0,98398,10015,Many,1
4.0,12.0,Sylas,Side.red,4.0,1592.0,2919.0,1592.0,12.0,0.5833333333333334,3.0,14.0,20.0,30125.0,1.0,16.0,100469,8826,Many,1
4.0,12.0,Shen,Side.blue,4.0,713.0,713.0,713.0,10.0,0.6,2.0,13.0,25.0,22718.0,1.0,9.0,50383,8110,Many,0
4.0,12.0,MonkeyKing,Side.blue,1.0,0.0,217.0,0.0,5.0,0.6,2.0,13.0,7.0,18832.0,0.0,17.0,76152,6800,Many,0
6.0,4.0,Darius,Side.blue,4.0,3223.0,4337.0,3223.0,10.0,0.6,2.0,14.0,19.0,26922.0,1.0,15.0,110860,9834,Many,2
4.0,12.0,Graves,Side.blue,2.0,1999.0,10087.0,1999.0,5.0,0.6,1.0,13.0,10.0,12838.0,1.0,17.0,107722,7911,Many,2
4.0,14.0,Teemo,Side.red,1.0,6407.0,12788.0,6407.0,5.0,0.6,2.0,13.0,18.0,11733.0,2.0,8.0,102987,9446,Many,0
12.0,4.0,Gragas,Side.blue,3.0,1037.0,1202.0,1037.0,8.0,0.625,2.0,14.0,46.0,39309.0,0.0,24.0,104548,9778,Many,1
4.0,12.0,Kayle,Side.blue,2.0,3102.0,3102.0,3102.0,8.0,0.625,3.0,14.0,4.0,23604.0,1.0,21.0,105083,9873,Many,0
12.0,4.0,Poppy,Side.red,5.0,476.0,476.0,476.0,8.0,0.625,0.0,13.0,27.0,20609.0,0.0,9.0,77739,6947,Many,2
11.0,4.0,Karthus,Side.blue,0.0,761.0,16829.0,761.0,8.0,0.625,5.0,14.0,16.0,24681.0,1.0,15.0,188684,12895,Few,0
14.0,12.0,Kled,Side.red,3.0,3646.0,4463.0,3646.0,11.0,0.636363636,4.0,14.0,7.0,41289.0,0.0,13.0,119522,10220,Many,2
4.0,11.0,Viego,Side.blue,2.0,0.0,3465.0,0.0,11.0,0.6363636363636364,5.0,13.0,13.0,25312.0,0.0,31.0,105648,10027,Few,0
12.0,4.0,Graves,Side.red,2.0,1504.0,2457.0,1504.0,11.0,0.6363636363636364,5.0,14.0,17.0,27375.0,0.0,20.0,146020,10269,Many,1
12.0,4.0,Yone,Side.red,4.0,0.0,4077.0,0.0,11.0,0.6363636363636364,3.0,13.0,15.0,22093.0,0.0,21.0,97196,8024,Many,1
11.0,4.0,Graves,Side.blue,3.0,0.0,4568.0,0.0,6.0,0.6666666666666666,1.0,13.0,11.0,22148.0,0.0,25.0,143657,8181,Few,0
12.0,4.0,Sion,Side.blue,2.0,4583.0,4583.0,4583.0,3.0,0.6666666666666666,0.0,13.0,9.0,23822.0,1.0,11.0,107446,9307,Many,0
4.0,12.0,Jayce,Side.blue,3.0,2096.0,2096.0,2096.0,9.0,0.6666666666666666,3.0,14.0,7.0,25259.0,0.0,12.0,99338,9276,Many,0
11.0,14.0,Yone,Side.red,3.0,845.0,8951.0,845.0,9.0,0.6666666666666666,3.0,14.0,22.0,21645.0,1.0,18.0,192466,10691,Few,0
12.0,4.0,Irelia,Side.blue,3.0,2082.0,5537.0,2082.0,6.0,0.6666666666666666,1.0,13.0,8.0,19045.0,0.0,10.0,107524,8755,Many,1
4.0,12.0,Yone,Side.blue,3.0,1235.0,2982.0,1235.0,9.0,0.6666666666666666,3.0,13.0,24.0,18758.0,0.0,9.0,87877,7795,Many,0
12.0,4.0,Irelia,Side.red,2.0,1329.0,3593.0,1329.0,3.0,0.6666666666666666,0.0,13.0,3.0,14372.0,1.0,16.0,86942,7416,Many,1
4.0,12.0,MonkeyKing,Side.red,3.0,0.0,1723.0,0.0,12.0,0.6666666666666666,5.0,13.0,9.0,29009.0,0.0,16.0,85110,8644,Many,0
11.0,4.0,Vi,Side.blue,4.0,0.0,6615.0,0.0,12.0,0.6666666666666666,4.0,13.0,29.0,30763.0,0.0,41.0,122157,8801,Few,0
4.0,12.0,Irelia,Side.red,1.0,3067.0,5751.0,3067.0,6.0,0.666666667,3.0,13.0,8.0,23855.0,2.0,21.0,118532,9617,Many,2
12.0,4.0,Mordekaiser,Side.red,2.0,1356.0,3726.0,1356.0,9.0,0.666666667,4.0,13.0,8.0,26648.0,1.0,24.0,109302,8594,Many,2
4.0,11.0,Gragas,Side.blue,5.0,64.0,10345.0,64.0,12.0,0.666666667,3.0,13.0,22.0,33988.0,0.0,31.0,120073,9974,Few,2
14.0,12.0,Gwen,Side.blue,4.0,1500.0,1500.0,1500.0,9.0,0.666666667,2.0,13.0,5.0,29061.0,0.0,27.0,71450,8124,Many,2
11.0,4.0,Viego,Side.blue,6.0,0.0,12019.0,0.0,10.0,0.7,1.0,13.0,15.0,36265.0,0.0,39.0,129224,8725,Few,1
14.0,4.0,Riven,Side.blue,6.0,546.0,546.0,546.0,10.0,0.7,1.0,13.0,14.0,23838.0,0.0,25.0,65572,7125,Many,0
11.0,4.0,Qiyana,Side.red,5.0,0.0,15503.0,0.0,10.0,0.7,2.0,13.0,11.0,23482.0,0.0,14.0,128845,8740,Few,2
11.0,6.0,Singed,Side.red,2.0,127.0,1993.0,127.0,10.0,0.7,5.0,13.0,25.0,36694.0,0.0,8.0,133855,10100,Few,2
4.0,12.0,Yasuo,Side.blue,5.0,2271.0,9601.0,2271.0,7.0,0.7142857140000001,0.0,14.0,14.0,16308.0,1.0,14.0,134814,9395,Many,2
12.0,4.0,Lucian,Side.blue,5.0,84.0,84.0,84.0,7.0,0.7142857140000001,0.0,13.0,0.0,14579.0,0.0,15.0,101156,8019,Many,2
11.0,12.0,Kayn,Side.blue,8.0,2442.0,7884.0,2442.0,14.0,0.7142857140000001,2.0,14.0,19.0,45569.0,1.0,13.0,170942,11039,Many,2
11.0,4.0,Graves,Side.blue,2.0,135.0,10968.0,135.0,7.0,0.7142857142857143,3.0,14.0,14.0,26891.0,0.0,33.0,164421,10933,Few,1
11.0,4.0,XinZhao,Side.blue,2.0,111.0,9103.0,111.0,7.0,0.7142857142857143,3.0,13.0,18.0,36119.0,0.0,36.0,122155,9276,Few,0
